               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.049141,            0.018901,            0.035038,             0.38316,             0.94515,             0.52813,             0.19089,            0.031147,            0.011686,            0.027129,           0.0011163,           0.0011163,            0.089816
                  38,             0.04833,            0.027729,            0.033457,             0.45024,                 0.8,             0.57329,             0.21513,            0.032006,            0.011282,            0.026754,           0.0011452,           0.0011452,            0.089545
                  39,            0.049627,            0.029179,            0.033117,             0.49074,             0.96933,             0.63174,             0.19862,            0.032387,            0.011059,            0.026606,            0.001174,            0.001174,            0.089274
                  40,            0.048906,            0.020235,            0.032575,             0.49264,               0.875,             0.60108,             0.17894,            0.032544,            0.010759,            0.026761,           0.0012028,           0.0012028,            0.089003
                  41,            0.047769,             0.02441,            0.033606,              0.4262,               0.925,             0.50546,             0.14764,            0.032582,            0.010496,             0.02591,           0.0012314,           0.0012314,            0.088731
                  42,            0.052108,            0.017995,            0.031739,             0.51689,             0.96971,             0.64258,             0.21231,            0.031886,            0.010147,            0.025808,           0.0012601,           0.0012601,             0.08846
                  43,            0.049463,            0.023428,            0.031095,             0.59798,                0.95,             0.80429,             0.38529,            0.032799,           0.0099048,            0.025745,           0.0012886,           0.0012886,            0.088189
                  44,            0.048831,            0.021258,            0.030593,             0.50348,               0.875,             0.63143,             0.14441,            0.034373,            0.010046,            0.025244,           0.0013171,           0.0013171,            0.087917
                  45,            0.048692,             0.01875,            0.031326,             0.63392,               0.925,             0.85126,             0.45287,            0.030239,           0.0098495,            0.025801,           0.0013455,           0.0013455,            0.087646
                  46,            0.051076,            0.018486,            0.030668,             0.31647,             0.89983,             0.46054,             0.22638,            0.037973,           0.0098235,            0.025064,           0.0013739,           0.0013739,            0.087374
                  47,            0.049525,            0.022064,             0.03103,             0.51122,               0.825,             0.61245,             0.19446,            0.031069,           0.0097971,            0.023187,           0.0014021,           0.0014021,            0.087102
                  48,            0.045867,            0.018003,            0.031841,             0.85991,               0.775,             0.88979,             0.49502,            0.032422,           0.0095473,            0.022695,           0.0014303,           0.0014303,             0.08683
                  49,            0.048644,            0.018558,             0.02873,             0.87859,              0.7139,             0.84252,             0.50554,            0.033135,           0.0096893,            0.021607,           0.0014585,           0.0014585,            0.086558
                  50,            0.048111,            0.020598,            0.027692,             0.64976,                 0.9,             0.89348,             0.26234,            0.038508,           0.0096596,             0.02436,           0.0014865,           0.0014865,            0.086287
                  51,            0.047754,             0.01738,            0.027443,             0.66738,                0.95,             0.95099,             0.37913,            0.039313,           0.0095794,            0.023354,           0.0015145,           0.0015145,            0.086014
                  52,            0.048667,            0.017582,            0.027123,              0.5769,                 0.9,             0.86158,             0.24207,             0.04277,           0.0095116,            0.023899,           0.0015424,           0.0015424,            0.085742
                  53,            0.045227,            0.018057,            0.025962,             0.67023,             0.97376,               0.959,             0.63963,             0.03772,           0.0093396,             0.01991,           0.0015702,           0.0015702,             0.08547
                  54,            0.043841,            0.017473,            0.025923,             0.63994,             0.97062,              0.8122,             0.46665,            0.032044,           0.0095145,            0.018757,           0.0015979,           0.0015979,            0.085198
                  55,            0.045238,            0.021551,            0.024916,             0.70792,                0.95,             0.93968,             0.59329,            0.031557,           0.0096168,            0.018169,           0.0016256,           0.0016256,            0.084926
                  56,            0.048522,            0.016031,            0.024769,             0.64531,                 0.7,             0.66556,             0.41541,            0.040351,           0.0094727,            0.017037,           0.0016531,           0.0016531,            0.084653
                  57,            0.063017,            0.014572,            0.025038,             0.68881,                0.75,             0.87657,             0.23171,            0.054982,           0.0090381,            0.016448,           0.0016806,           0.0016806,            0.084381
                  58,            0.067623,            0.014815,            0.027525,             0.44729,              0.8713,             0.79862,             0.35463,            0.049409,           0.0092932,            0.016106,            0.001708,            0.001708,            0.084108
                  59,            0.067604,            0.015825,            0.024047,             0.57567,               0.625,              0.6517,             0.08802,            0.056685,            0.008841,            0.015777,           0.0017353,           0.0017353,            0.083835
                  60,            0.074326,            0.017283,             0.02697,             0.49686,               0.725,             0.63392,             0.10696,            0.046356,           0.0092265,            0.015719,           0.0017625,           0.0017625,            0.083562
                  61,            0.061264,            0.018049,            0.022926,             0.33835,              0.7724,             0.57438,             0.25821,            0.046673,           0.0092178,            0.015937,           0.0017896,           0.0017896,             0.08329
                  62,            0.059992,            0.013866,            0.024095,              0.3754,             0.79713,             0.58717,             0.29235,            0.047575,           0.0092666,            0.015431,           0.0018166,           0.0018166,            0.083017
                  63,            0.063704,            0.014564,            0.024804,             0.48312,                 0.7,             0.74923,             0.35098,            0.051757,           0.0091334,            0.014621,           0.0018435,           0.0018435,            0.082744
                  64,            0.060277,            0.016703,            0.022363,             0.73595,               0.825,             0.92087,             0.63475,            0.035079,            0.010098,            0.013772,           0.0018704,           0.0018704,             0.08247
                  65,            0.056968,            0.017901,            0.022654,             0.56783,             0.91364,              0.9169,             0.24921,            0.058379,           0.0089455,            0.013576,           0.0018971,           0.0018971,            0.082197
                  66,            0.064709,            0.016399,            0.023495,             0.66116,             0.87831,             0.93201,             0.30163,            0.046857,           0.0089907,            0.013271,           0.0019237,           0.0019237,            0.081924
                  67,            0.061252,            0.014486,            0.023458,             0.91488,                0.75,             0.92776,             0.30144,            0.045231,           0.0092342,            0.013125,           0.0019502,           0.0019502,             0.08165
                  68,            0.049484,            0.016172,            0.018569,             0.73781,             0.92339,             0.92291,             0.57022,            0.032732,           0.0096841,            0.013172,           0.0019767,           0.0019767,            0.081377
                  69,            0.055323,            0.017468,            0.020768,             0.83888,             0.81814,             0.91011,              0.3066,            0.054359,           0.0085954,            0.012952,            0.002003,            0.002003,            0.081103
                  70,            0.060681,            0.013156,            0.019619,             0.88416,             0.95028,             0.96524,              0.5337,            0.044456,           0.0086105,            0.012428,           0.0020292,           0.0020292,            0.080829
                  71,            0.058469,            0.015027,            0.018954,             0.93693,             0.77421,             0.93976,              0.3947,            0.047891,           0.0086491,            0.012561,           0.0020553,           0.0020553,            0.080555
                  72,            0.053115,            0.015291,            0.017151,             0.97499,             0.83757,              0.9691,             0.47319,            0.046911,           0.0085599,            0.012629,           0.0020813,           0.0020813,            0.080281
